label,source,toi,tid,target_id,period,depth,duration,kepid
1,TOI_Candidate,1136.03,142276270.0,TIC142276270,26.3208756,800.0,4.414,
1,TOI_Candidate,1136.04,142276270.0,TIC142276270,18.795547,470.6731965,4.3425576,
1,TOI_Candidate,1137.01,89389197.0,TIC89389197,1.3206356,1052.4255997,1.6000996,
1,TOI_Candidate,1079.01,379240073.0,TIC379240073,3.1644075,5603.4635466,2.0576293,
1,TOI_Candidate,108.01,289793076.0,TIC289793076,3.0440541,22236.0165376,2.5984575,
1,TOI_Candidate,1080.01,161032923.0,TIC161032923,3.9652485,3680.7544436,1.0112593,
1,TOI_Candidate,1081.01,253728991.0,TIC253728991,2.98278,6136.231662,3.109528,
1,TOI_Candidate,1082.01,261108236.0,TIC261108236,16.3469053,2212.4257252,3.5865698,
1,TOI_Candidate,1083.01,322270620.0,TIC322270620,12.9802953,2407.2608671,2.5034417,
1,TOI_Candidate,1084.01,380589029.0,TIC380589029,1.3484961,18463.7636682,2.4074261,
1,TOI_Candidate,1086.01,468148930.0,TIC468148930,3.7178828,4864.8405125,5.5277827,
1,TOI_Candidate,109.01,29344935.0,TIC29344935,2.76676,14947.4387827,2.6872178,
1,TOI_Candidate,1091.01,193413306.0,TIC193413306,1.725841,2710.0,3.674,
1,TOI_Candidate,116.01,238176110.0,TIC238176110,2.7985802,16708.7151957,2.3801043,
1,TOI_Candidate,1161.01,158324245.0,TIC158324245,1.7635881,6650.0,3.092,
1,TOI_Candidate,1162.01,13419950.0,TIC13419950,7.3166682,3210.0,3.255,
1,TOI_Candidate,1163.01,375542276.0,TIC375542276,3.0771612,4703.2844346,2.6914319,
1,TOI_Candidate,1165.01,458478250.0,TIC458478250,2.2552845,20820.0,2.05,
1,TOI_Candidate,1169.01,302518439.0,TIC302518439,6.7075429,11920.0,2.125,
1,TOI_Candidate,117.01,322307342.0,TIC322307342,3.5862962,5729.3246858,3.3710943,
1,TOI_Candidate,1173.01,232967440.0,TIC232967440,7.0643978,8268.0,2.424,
1,TOI_Candidate,1174.01,154089169.0,TIC154089169,8.9534775,1136.0,2.696,
1,TOI_Candidate,1194.01,147950620.0,TIC147950620,2.3106428,6911.0,1.294,
1,TOI_Candidate,1196.01,69068526.0,TIC69068526,5.5376617,5390.0,2.517,
1,TOI_Candidate,1197.01,92677094.0,TIC92677094,4.5960377,5000.0,4.744,
1,TOI_Candidate,1198.01,203189770.0,TIC203189770,3.612771,11794.0,4.142,
1,TOI_Candidate,1199.01,99869022.0,TIC99869022,3.6714717,4340.0,2.149,
